question,answer,type,columns_used,column_types,sample_answer,dataset
List the top 5 ranks of billionaires who are not self-made.,"[3, 10, 14, 16, 18]",list[number],"['selfMade', 'rank']","['boolean', 'number[uint16]']","[288, 296, 509, 523, 601]",001_Forbes
List the bottom 3 ages of billionaires who have a philanthropy score of 5.,"[48.0, 83.0, 83.0]",list[number],"['philanthropyScore', 'age']","['number[UInt8]', 'number[UInt8]']",[],001_Forbes
List the top 6 final worth values of billionaires in the 'Technology' category.,"[171000, 129000, 111000, 107000, 106000, 91400]",list[number],"['category', 'finalWorth']","['category', 'number[uint32]']",[],001_Forbes
List the bottom 4 ranks of female billionaires.,"[14, 18, 21, 30]",list[number],"['gender', 'rank']","['category', 'number[uint16]']",[],001_Forbes
List the top 2 final worth values of billionaires in the 'Automotive' category.,"[219000, 44800]",list[number],"['category', 'finalWorth']","['category', 'number[uint32]']",[],001_Forbes
Did any children below the age of 18 survive?,True,boolean,"['Age', 'Survived']","['number[UInt8]', 'boolean']",True,002_Titanic
Were there any passengers who paid a fare of more than $500?,True,boolean,['Fare'],['number[double]'],False,002_Titanic
Is every passenger's name unique?,True,boolean,['Name'],['text'],True,002_Titanic
Were there any female passengers in the 3rd class who survived?,True,boolean,"['Sex', 'Pclass', 'Survived']","['category', 'number[uint8]', 'boolean']",True,002_Titanic
How many unique passenger classes are present in the dataset?,3,number,['Pclass'],['number[uint8]'],3,002_Titanic
What's the maximum age of the passengers?,80.0,number,['Age'],['number[UInt8]'],69.0,002_Titanic
How many passengers boarded without any siblings or spouses?,604,number,['Siblings_Spouses Aboard'],['number[uint8]'],12,002_Titanic
"On average, how much fare did the passengers pay?",32.31,number,['Fare'],['number[double]'],23.096459999999997,002_Titanic
Which passenger class has the highest number of survivors?,1,category,"['Pclass', 'Survived']","['number[uint8]', 'boolean']",3,002_Titanic
What's the most common gender among the survivors?,female,category,"['Sex', 'Survived']","['category', 'boolean']",female,002_Titanic
"Among those who survived, which fare range was the most common: (0-50, 50-100, 100-150, 150+)?",0-50,category,"['Fare', 'Survived']","['number[double]', 'boolean']",0-50,002_Titanic
"What's the most common age range among passengers: (0-18, 18-30, 30-50, 50+)?",18-30,category,['Age'],['number[UInt8]'],18-30,002_Titanic
Name the top 3 passenger classes by survival rate.,"[1, 2, 3]",list[category],"['Pclass', 'Survived']","['number[uint8]', 'boolean']","[1, 3, 2]",002_Titanic
"Could you list the bottom 3 fare ranges by number of survivors: (0-50, 50-100, 100-150, 150+)?","['50-100', '150+', '100-150']",list[category],"['Fare', 'Survived']","['number[double]', 'boolean']","[50-100, 150+, 100-150]",002_Titanic
"What is the top 4 age ranges('30-50', '18-30', '0-18', '50+') with the highest number of survivors?","['30-50', '18-30', '0-18', '50+']",list[category],"['Age', 'Survived']","['number[UInt8]', 'boolean']","[30-50, 18-30, 0-18, 50+]",002_Titanic
What are the top 2 genders by average fare paid?,"['female', 'male']",list[category],"['Sex', 'Fare']","['category', 'number[double]']","[female, male]",002_Titanic
What are the oldest 3 ages among the survivors?,"[24.0, 22.0, 27.0]",list[number],"['Age', 'Survived']","['number[UInt8]', 'boolean']","[56.0, 47.0,  42.0]",002_Titanic
Which are the top 4 fares paid by survivors?,"[13.0, 26.0, 7.75, 10.5]",list[number],"['Fare', 'Survived']","['number[double]', 'boolean']","[133.65, 39.0, 35.5, 30.5]",002_Titanic
Could you list the youngest 3 ages among the survivors?,"[53.0, 55.0, 11.0]",list[number],"['Age', 'Survived']","['number[UInt8]', 'boolean']","[14.0, 24.0, 28.0]",002_Titanic
Which are the bottom 4 fares among those who didn't survive?,"[90.0, 12.275, 9.35, 10.5167]",list[number],"['Fare', 'Survived']","['number[double]', 'boolean']","[13.0, 7.75, 11.5, 10.1708]",002_Titanic
Is the average age of the respondents above 30?,True,boolean,"['[', ""'"", 'W', 'h', 'a', 't', ' ', 'i', 's', ' ', 'y', 'o', 'u', 'r', ' ', 'a', 'g', 'e', '?', ' ', '👶', '🏻', '👵', '🏻', ""'"", ']']",['number[uint8]'],True,003_Love
Are there more single individuals than married ones in the dataset?,True,boolean,"['[', ""'"", 'W', 'h', 'a', 't', ' ', 'i', 's', ' ', 'y', 'o', 'u', 'r', ' ', 'c', 'i', 'v', 'i', 'l', ' ', 's', 't', 'a', 't', 'u', 's', '?', ' ', '💍', ""'"", ']']",['category'],False,003_Love
Do the majority of respondents have a height greater than 170 cm?,True,boolean,"['[', 'W', 'h', 'a', 't', ""'"", 's', ' ', 'y', 'o', 'u', 'r', ' ', 'h', 'e', 'i', 'g', 'h', 't', '?', ' ', 'i', 'n', ' ', 'c', 'm', ' ', '📏', ']']",['number[uint8]'],True,003_Love
Is the most frequent hair color black?,False,boolean,"['[', ""'"", 'W', 'h', 'a', 't', ' ', 'i', 's', ' ', 'y', 'o', 'u', 'r', ' ', 'h', 'a', 'i', 'r', ' ', 'c', 'o', 'l', 'o', 'r', '?', ' ', '👩', '🦰', '👱', '🏽', ""'"", ']']",['category'],False,003_Love
How many unique nationalities are present in the dataset?,13,number,"['[', 'W', 'h', 'a', 't', ""'"", 's', ' ', 'y', 'o', 'u', 'r', ' ', 'n', 'a', 't', 'i', 'o', 'n', 'a', 'l', 'i', 't', 'y', '?', '""', ']', '""']",['category'],1,003_Love
What is the average gross annual salary?,56332.81720430108,number,"['[', ""'"", 'G', 'r', 'o', 's', 's', ' ', 'a', 'n', 'n', 'u', 'a', 'l', ' ', 's', 'a', 'l', 'a', 'r', 'y', ' ', '(', 'i', 'n', ' ', 'e', 'u', 'r', 'o', 's', ')', ' ', '💸', ""'"", ']']",['number[UInt32]'],62710.0,003_Love
How many respondents wear glasses all the time?,0,number,"['[', ""'"", 'H', 'o', 'w', ' ', 'o', 'f', 't', 'e', 'n', ' ', 'd', 'o', ' ', 'y', 'o', 'u', ' ', 'w', 'e', 'a', 'r', ' ', 'g', 'l', 'a', 's', 's', 'e', 's', '?', ' ', '👓', ""'"", ']']",['category'],0,003_Love
What's the median age of the respondents?,33.0,number,"['[', ""'"", 'W', 'h', 'a', 't', ' ', 'i', 's', ' ', 'y', 'o', 'u', 'r', ' ', 'a', 'g', 'e', '?', ' ', '👶', '🏻', '👵', '🏻', ""'"", ']']",['number[uint8]'],32.5,003_Love
What is the most common level of studies achieved?,Master,category,"['[', ""'"", 'W', 'h', 'a', 't', ' ', 'i', 's', ' ', 't', 'h', 'e', ' ', 'm', 'a', 'x', 'i', 'm', 'u', 'm', ' ', 'l', 'e', 'v', 'e', 'l', ' ', 'o', 'f', ' ', 's', 't', 'u', 'd', 'i', 'e', 's', ' ', 'y', 'o', 'u', ' ', 'h', 'a', 'v', 'e', ' ', 'a', 'c', 'h', 'i', 'e', 'v', 'e', 'd', '?', ' ', '🎓', ""'"", ']']",['category'],Master,003_Love
Which body complexity has the least number of respondents?,Very thin,category,"['[', ""'"", 'W', 'h', 'a', 't', ' ', 'i', 's', ' ', 'y', 'o', 'u', 'r', ' ', 'b', 'o', 'd', 'y', ' ', 'c', 'o', 'm', 'p', 'l', 'e', 'x', 'i', 't', 'y', '?', ' ', '🏋', '️', ""'"", ']']",['category'],Obese,003_Love
What's the most frequent eye color?,Brown,category,"['[', ""'"", 'W', 'h', 'a', 't', ' ', 'i', 's', ' ', 'y', 'o', 'u', 'r', ' ', 'e', 'y', 'e', ' ', 'c', 'o', 'l', 'o', 'r', '?', ' ', '👁', '️', ""'"", ']']",['category'],Brown,003_Love
Which sexual orientation has the highest representation?,Heterosexual,category,"['[', 'W', 'h', 'a', 't', ""'"", 's', ' ', 'y', 'o', 'u', 'r', ' ', 's', 'e', 'x', 'u', 'a', 'l', ' ', 'o', 'r', 'i', 'e', 'n', 't', 'a', 't', 'i', 'o', 'n', '?', '""', ']', '""']",['category'],Heterosexual,003_Love
List the top 3 most common areas of knowledge.,"['[Computer Science]', '[Business]', '[Enginering & Architecture]']",list[category],"['[', ""'"", 'W', 'h', 'a', 't', ' ', 'a', 'r', 'e', 'a', ' ', 'o', 'f', ' ', 'k', 'n', 'o', 'w', 'l', 'e', 'd', 'g', 'e', ' ', 'i', 's', ' ', 'c', 'l', 'o', 's', 'e', 'r', ' ', 't', 'o', ' ', 'y', 'o', 'u', '?', ""'"", ']']",['list[category]'],"['[Computer Science]', '[Business]', '[Enginering & Architecture]']",003_Love
List the bottom 3 hair lengths in terms of frequency.,"['Medium', 'Long', 'Bald']",list[category],"['[', ""'"", 'H', 'o', 'w', ' ', 'l', 'o', 'n', 'g', ' ', 'i', 's', ' ', 'y', 'o', 'u', 'r', ' ', 'h', 'a', 'i', 'r', '?', ' ', '💇', '🏻', '♀', '️', '💇', '🏽', '♂', '️', ""'"", ']']",['category'],"['Short', 'Medium', 'Long']",003_Love
Name the top 5 civil statuses represented in the dataset.,"['Single', 'Married', 'In a Relationship', 'In a Relationship Cohabiting', 'Divorced']",list[category],"['[', ""'"", 'W', 'h', 'a', 't', ' ', 'i', 's', ' ', 'y', 'o', 'u', 'r', ' ', 'c', 'i', 'v', 'i', 'l', ' ', 's', 't', 'a', 't', 'u', 's', '?', ' ', '💍', ""'"", ']']",['category'],"['Married', 'In a Relationship', 'In a Relationship Cohabiting', 'Single', 'Divorced']",003_Love
What are the 4 least common hair colors?,"['Red', 'Other', 'White', 'Blue']",list[category],"['[', ""'"", 'W', 'h', 'a', 't', ' ', 'i', 's', ' ', 'y', 'o', 'u', 'r', ' ', 'h', 'a', 'i', 'r', ' ', 'c', 'o', 'l', 'o', 'r', '?', ' ', '👩', '🦰', '👱', '🏽', ""'"", ']']",['category'],"['Brown', 'Black']",003_Love
What are the top 4 maximum gross annual salaries?,"[500000.0, 360000.0, 300000.0, 300000.0]",list[number],"['[', ""'"", 'G', 'r', 'o', 's', 's', ' ', 'a', 'n', 'n', 'u', 'a', 'l', ' ', 's', 'a', 'l', 'a', 'r', 'y', ' ', '(', 'i', 'n', ' ', 'e', 'u', 'r', 'o', 's', ')', ' ', '💸', ""'"", ']']",['number[UInt32]'],"[150000.0, 130000.0, 125000.0, 120000.0]",003_Love
Name the bottom 3 values for the happiness scale.,"[2, 2, 2]",list[number],"['[', ""'"", 'H', 'a', 'p', 'p', 'i', 'n', 'e', 's', 's', ' ', 's', 'c', 'a', 'l', 'e', ""'"", ']']",['number[uint8]'],"[7, 10, 6]",003_Love
What are the 5 highest ages present in the dataset?,"[65, 62, 60, 60, 59]",list[number],"['[', ""'"", 'W', 'h', 'a', 't', ' ', 'i', 's', ' ', 'y', 'o', 'u', 'r', ' ', 'a', 'g', 'e', '?', ' ', '👶', '🏻', '👵', '🏻', ""'"", ']']",['number[uint8]'],"[65, 60, 51, 50, 50]",003_Love
List the bottom 6 skin tone values based on frequency.,"[2, 1, 6, 0, 7, 8]",list[number],"['[', ""'"", 'W', 'h', 'a', 't', ' ', 'i', 's', ' ', 'y', 'o', 'u', 'r', ' ', 's', 'k', 'i', 'n', ' ', 't', 'o', 'n', 'e', '?', ""'"", ']']",['number[uint8]'],"[3, 1, 6, 2, 7, 0]",003_Love
Are there any trips with a total distance greater than 30 miles?,False,boolean,['trip_distance'],['number[double]'],False,004_Taxi
Were there any trips that cost more than $100 in total?,False,boolean,['total_amount'],['number[double]'],False,004_Taxi
Is there any trip with more than 6 passengers?,False,boolean,['passenger_count'],['number[uint8]'],False,004_Taxi
Did all the trips use a payment type of either 1 or 2?,False,boolean,['payment_type'],['number[uint8]'],True,004_Taxi
What is the maximum fare amount charged for a trip?,75.25,number,['fare_amount'],['number[double]'],85.0,004_Taxi
How many unique pickup locations are in the dataset?,96,number,['PULocationID'],['number[uint16]'],193,004_Taxi
What is the average tip amount given by passengers?,2.74,number,['tip_amount'],['number[double]'],1.5,004_Taxi
How many trips took place in the airport area?,99807,number,['Airport_fee'],['number[UInt8]'],194,004_Taxi
Which payment type is the most common in the dataset?,1,category,['payment_type'],['number[uint8]'],1,004_Taxi
Which vendor has the most trips recorded?,2,category,['VendorID'],['number[uint8]'],2,004_Taxi
What is the most common drop-off location?,236,category,['DOLocationID'],['number[uint16]'],161,004_Taxi
On which date did the first recorded trip occur?,2023-01-31,category,['tpep_pickup_datetime'],"['date[ns', 'UTC]']",2019-01-01 00:46:40,004_Taxi
Which are the top 3 most frequent pickup locations?,"[161, 237, 236]",list[category],['PULocationID'],['number[uint16]'],"[237, 236, 161]",004_Taxi
Name the 4 most common rate codes used.,"[1, 2, 5, 4]",list[category],['RatecodeID'],['number[uint8]'],"[1, 2, 5, 3]",004_Taxi
list the 2 most frequent store and forward flags.,"['N', 'Y']",list[category],['store_and_fwd_flag'],['category'],"['N', 'Y']",004_Taxi
Identify the top 4 payment types used by frequency,"[1, 2, 4, 3]",list[category],['payment_type'],['number[uint8]'],"[1, 2, 3]",004_Taxi
Report the 4 highest toll amounts paid.,"[0, 0, 0, 0]",list[number],['tolls_amount'],['number[uint8]'],"[0, 0, 0, 0]",004_Taxi
list the top 3 longest trip distances,"[19.83, 19.74, 19.68]",list[number],['trip_distance'],['number[double]'],"[8.32, 5.93, 2.8]",004_Taxi
Identify the 5 largest total amounts paid for trips.,"[80.0, 80.0, 80.0, 80.0, 79.55]",list[number],['total_amount'],['number[double]'],"[45.8, 39.9, 33.2, 25.2, 24.87]",004_Taxi
Report the 6 highest fare amounts charged.,"[75.25, 74.4, 73.0, 73.0, 73.0, 73.0]",list[number],['fare_amount'],['number[double]'],"[40.8, 28.9, 21.2, 17.0, 14.9, 13.5]",004_Taxi
Are there any complaints made in Brooklyn?,True,boolean,['borough'],['category'],True,005_NYC
Do any complaints have 'Dog' as a descriptor?,True,boolean,['descriptor'],['category'],False,005_NYC
Were there any complaints raised in April?,True,boolean,['month_name'],['category'],True,005_NYC
Is the Mayor's office of special enforcement one of the agencies handling complaints?,True,boolean,['agency'],['category'],False,005_NYC
How many complaints have been made in Queens?,23110,number,['borough'],['category'],0,005_NYC
What's the total number of unique agencies handling complaints?,22,number,['agency'],['category'],7,005_NYC
How many complaints were raised at midnight?,14811,number,['hour'],['number[uint8]'],2,005_NYC
How many unique descriptors are present in the dataset?,1131,number,['descriptor'],['category'],16,005_NYC
Which borough has the most complaints?,BROOKLYN,category,['borough'],['category'],QUEENS,005_NYC
Which month sees the highest number of complaints?,July,category,['month_name'],['category'],January,005_NYC
Which weekday has the least complaints?,Sunday,category,['weekday_name'],['category'],Thursday,005_NYC
Which agency is least frequently handling complaints?,ACS,category,['agency'],['category'],DOHMH,005_NYC
List the top 5 most frequent complaint types.,"['Noise - Residential', 'HEAT/HOT WATER', 'Illegal Parking', 'Blocked Driveway', 'Street Condition']",list[category],['complaint_type'],['category'],"[HEAT/HOT WATER, Building/Use, Noise - Residential, General Construction/Plumbing, Air Quality]",005_NYC
Which 4 agencies handle the most complaints?,"['NYPD', 'HPD', 'DOT', 'DSNY']",list[category],['agency'],['category'],"[NYPD, HPD, DOB, DSNY]",005_NYC
Name the 3 least frequent descriptors for complaints.,"['Booting Company', 'Ready NY - Businesses', 'Animal']",list[category],['descriptor'],['category'],"[Structure - Outdoors, Air: Odor/Fumes, Restaurant (AD2), 12 Dead Animals]",005_NYC
Mention the 2 most common weekdays for complaints.,"['Tuesday', 'Monday']",list[category],['weekday_name'],['category'],"[Monday, Wednesday]",005_NYC
What are the top 4 hours with the most complaints?,"[0, 12, 10, 11]",list[number],['hour'],['number[uint8]'],"[18, 21, 0, 16]",005_NYC
State the 3 lowest unique complaint keys.,"[15628852, 15634748, 15634996]",list[number],['unique_key'],['number[uint32]'],"[18311800, 22322205, 25369019]",005_NYC
Which 5 hours see the least complaints?,"[6, 2, 3, 5, 4]",list[number],['hour'],['number[uint8]'],"[22, 7, 14, 23, 8]",005_NYC
List 6 unique complaint numbers from the dataset.,"[33629705, 46718634, 51900343, 53128216, 34575561, 46015340]",list[number],['unique_key'],['number[uint32]'],"[51990440, 43655624, 35414182, 43260648, 28084067, 50082845]",005_NYC
Are all properties in the dataset located in the same neighbourhood?,False,boolean,['neighbourhood_cleansed'],['category'],False,006_London
Do all hosts verify their identity?,False,boolean,['host_identity_verified'],['category'],False,006_London
Are all reviews_per_month values greater than 5?,False,boolean,['reviews_per_month'],['number[double]'],False,006_London
Are there any listings without a specified room type?,False,boolean,['room_type'],['category'],False,006_London
How many unique hosts are there in the dataset?,563,number,['host_neighbourhood'],['category'],20,006_London
How many listings have a valid price?,0,number,['price'],['category'],0,006_London
How many properties have received a perfect review score for communication?,0,number,['review_scores_communication'],['number[double]'],0,006_London
What is the maximum number of bedrooms a property has in this dataset?,22.0,number,['bedrooms'],['number[UInt8]'],3.0,006_London
Which neighbourhood has the most listings?,Westminster,category,['neighbourhood_cleansed'],['category'],Hammersmith and Fulham,006_London
What is the most common room type in the listings?,Entire home/apt,category,['room_type'],['category'],Private room,006_London
What property type has the least listings?,Hut,category,['property_type'],['category'],Entire condo,006_London
Which host verification method is the least used?,photographer],category,['host_verifications'],['list[category]'],[phone],006_London
List the top 3 neighbourhoods with the most listings.,"['Westminster', 'Tower Hamlets', 'Hackney']",list[category],['neighbourhood_cleansed'],['category'],"['Hammersmith and Fulham', 'Hackney', 'Westminster']",006_London
Which are the top 5 most common property types?,"['Entire rental unit', 'Private room in rental unit', 'Private room in home', 'Entire condo', 'Entire home']",list[category],['property_type'],['category'],"['Private room in rental unit', 'Entire rental unit', 'Entire home', 'Private room in home', 'Entire condo']",006_London
List the 4 least common host verification methods.,"['[email]', '[]', '[None]', ' photographer']",list[category],['host_verifications'],['list[category]'],"['[phone]', ' phone', ' work_email', ' phone']",006_London
Which are the 2 most preferred room types?,"['Entire home/apt', 'Private room']",list[category],['room_type'],['category'],"['Private room', 'Entire home/apt']",006_London
What are the top 3 highest review scores for location?,"[5.0, 5.0, 5.0]",list[number],['review_scores_location'],['number[double]'],"[5.0, 4.0, 4.89]",006_London
What are the 4 most common number of bedrooms in properties?,"[1.0, 2.0, 3.0, 4.0]",list[number],['bedrooms'],['number[UInt8]'],"[1.0, 2.0, 3.0]",006_London
What are the 5 highest counts of listings by a single host for entire homes?,"[288, 288, 288, 288, 288]",list[number],['calculated_host_listings_count_entire_homes'],['number[uint16]'],"[1, 1, 1, 1, 1]",006_London
List the 6 lowest review scores for communication.,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",list[number],['review_scores_communication'],['number[double]'],"[4.4, 4.89, 4.95, 4.5, 4.75, 4.94]",006_London
Are there players who have a greater overall score than their potential score?,False,boolean,"['Overall<gx:number>', 'Potential<gx:number>']","['number[uint8]', 'number[uint8]']",False,007_Fifa
Are there any players who joined their current club before they were 18 years old?,True,boolean,"['Joined<gx:date>', 'Age<gx:number>']","['category', 'number[uint8]']",True,007_Fifa
Are there any players whose preferred foot is left and are from a nationality that starts with 'B'?,True,boolean,"['Preferred Foot<gx:category>', 'Nationality<gx:category>']","['category', 'category']",False,007_Fifa
Are there any players who are taller than 6 feet and have an agility score above 90?,False,boolean,"['Height_ft<gx:number>', 'Agility<gx:number>']","['number[double]', 'number[uint8]']",False,007_Fifa
What is the average overall score of players from France?,67.861432,number,"['Nationality<gx:category>', 'Overall<gx:number>']","['category', 'number[uint8]']",,007_Fifa
How many unique clubs are there in the dataset?,683,number,['Club<gx:category>'],['category'],19,007_Fifa
What is the highest value (in €) of a player in the dataset?,105500000,number,['Value_€<gx:currency>'],['number[uint32]'],13500000,007_Fifa
How many players have the position 'ST'?,414,number,['Position<gx:category>'],['category'],1,007_Fifa
What is the most common nationality in the dataset?,England,category,['Nationality<gx:category>'],['category'],Ghana,007_Fifa
What is the most common preferred foot amongst players?,Right,category,['Preferred Foot<gx:category>'],['category'],Right,007_Fifa
Which club has the most players in the dataset?,Crystal Palace,category,['Club<gx:category>'],['category'],Lech Poznań,007_Fifa
What is the most common position of players in the dataset?,SUB,category,['Position<gx:category>'],['category'],SUB,007_Fifa
Which are the top 5 nationalities in terms of the average overall score of their players?,"['Tanzania', 'Syria', 'Mozambique', 'Chad', 'Central African Rep.']",list[category],"['Nationality<gx:category>', 'Overall<gx:number>']","['category', 'number[uint8]']","['Portugal', 'Ivory Coast', 'Brazil', 'United States', 'Ghana']",007_Fifa
Which are the top 3 clubs in terms of the total value (in €) of their players?,"['Liverpool', 'Manchester City', 'Real Madrid']",list[category],"['Club<gx:category>', 'Value_€<gx:currency>']","['category', 'number[uint32]']","['Sassuolo', 'Atalanta', 'DC United']",007_Fifa
Which are the bottom 4 nationalities in terms of the average agility of their players?,"['Macau', 'Andorra', 'Moldova', 'Liechtenstein']",list[category],"['Nationality<gx:category>', 'Agility<gx:number>']","['category', 'number[uint8]']","['United States', 'Guyana', 'Saudi Arabia', 'Poland']",007_Fifa
Which are the top 6 clubs in terms of the average potential score of their players?,"['FC Bayern München', 'Real Madrid', 'FC Barcelona', 'Paris Saint-Germain', 'Juventus', 'Manchester City']",list[category],"['Club<gx:category>', 'Potential<gx:number>']","['category', 'number[uint8]']","['Sassuolo', 'Inter', 'Sporting CP', '1. FSV Mainz 05', 'Atalanta', 'DC United']",007_Fifa
What are the top 3 overall scores in the dataset?,"[93, 92, 91]",list[number],['Overall<gx:number>'],['number[uint8]'],"[79, 77, 77]",007_Fifa
What are the bottom 5 potential scores in the dataset?,"[48, 48, 49, 50, 50]",list[number],['Potential<gx:number>'],['number[uint8]'],"[60, 65, 66, 67, 68]",007_Fifa
What are the top 4 values (in €) of players in the dataset?,"[105500000, 90000000, 87000000, 80000000]",list[number],['Value_€<gx:currency>'],['number[uint32]'],"[13500000, 7500000, 5500000, 5500000]",007_Fifa
What are the top 2 wages (in €) of players in the dataset?,"[560000, 370000]",list[number],['Wage_€<gx:currency>'],['number[uint32]'],"[47000, 29000]",007_Fifa
There are no tornadoes that resulted in more than 500 injuries.,True,boolean,['inj'],['number[uint16]'],True,008_Tornados
All tornadoes in the dataset occurred in the 21st century.,False,boolean,['yr'],['number[uint16]'],False,008_Tornados
No tornado has a length greater than 100 miles.,True,boolean,['len'],['number[double]'],True,008_Tornados
There are no tornadoes that resulted in more than 100 fatalities.,True,boolean,['fat'],['number[uint8]'],True,008_Tornados
How many unique states are represented in the dataset?,53,number,['st'],['category'],12,008_Tornados
What is the highest magnitude of tornado recorded in the dataset?,5,number,['mag'],['number[int8]'],2,008_Tornados
What is the longest length of a tornado path in the dataset?,234.7,number,['len'],['number[double]'],72.2,008_Tornados
What is the maximum number of injuries caused by a single tornado?,1740,number,['inj'],['number[uint16]'],3,008_Tornados
Which state has experienced the most tornadoes?,TX,category,['st'],['category'],IL,008_Tornados
In which month do most tornadoes occur?,5,category,['mo'],['number[uint8]'],6,008_Tornados
On what date did the most destructive tornado (by injuries) occur?,1979-04-10 00:00:00,category,"['date', 'inj']","['date[ns', 'UTC]', 'number[uint16]']",1973-03-15,008_Tornados
On what date did the longest tornado (by path length) occur?,1953-03-22 00:00:00,category,"['date', 'len']","['date[ns', 'UTC]', 'number[double]']",1955-06-04,008_Tornados
Which are the top 5 states with the highest average tornado magnitude?,"[AR, KY, VT, TN, MS]",list[category],"['st', 'mag']","['category', 'number[int8]']","['TN', 'GA', 'IN', 'OK', 'TX']",008_Tornados
Which are the top 3 states with the most tornado-related injuries?,"[TX, AL, MS]",list[category],"['st', 'inj']","['category', 'number[uint16]']","['TN', 'IL', 'AR']",008_Tornados
Which are the top 4 states with the most tornado-related fatalities?,"[AL, TX, MS, OK]",list[category],"['st', 'fat']","['category', 'number[uint8]']","['TN', 'AR', 'FL', 'GA']",008_Tornados
Which are the bottom 2 states in terms of the average tornado path length?,"[AK, VI]",list[category],"['st', 'len']","['category', 'number[double]']","['TN', 'WY']",008_Tornados
What are the top 3 number of injuries caused by tornadoes in the dataset?,"[1740, 1500, 1228]",list[number],['inj'],['number[uint16]'],"[3, 1, 0]",008_Tornados
What are the top 5 magnitudes of tornadoes in the dataset?,"[5, 5, 5, 5, 5]",list[number],['mag'],['number[int8]'],"[2, 2, 1, 1, 1]",008_Tornados
What are the top 4 path lengths of tornadoes in the dataset?,"[234.7, 217.8, 202.5, 202.1]",list[number],['len'],['number[double]'],"[72.2, 4.7, 4.3, 3.2]",008_Tornados
What are the top 6 number of fatalities caused by tornadoes in the dataset?,"[158, 116, 114, 94, 80, 72]",list[number],['fat'],['number[uint8]'],"[1, 0, 0, 0, 0, 0]",008_Tornados
There were no days when the precipitation was greater than 5 inches.,True,boolean,['PRCP'],['number[double]'],True,009_Central
All recorded temperatures are above freezing point.,False,boolean,"['TMIN', 'TMAX']","['number[Int8]', 'number[UInt8]']",False,009_Central
There were no days when the snow depth was more than 10 inches.,True,boolean,['SNWD'],['number[UInt8]'],True,009_Central
There were no days when the maximum temperature was below freezing point.,False,boolean,['TMAX'],['number[UInt8]'],False,009_Central
What is the highest recorded precipitation in inches?,8.28,number,['PRCP'],['number[double]'],0.66,009_Central
What is the lowest minimum temperature recorded?,-15.0,number,['TMIN'],['number[Int8]'],-13.0,009_Central
What is the highest maximum temperature recorded?,106.0,number,['TMAX'],['number[UInt8]'],81.0,009_Central
What is the deepest recorded snow depth in inches?,26.0,number,['SNWD'],['number[UInt8]'],4.0,009_Central
